year,state,ethanol_beer_gallons_per_capita,ethanol_wine_gallons_per_capita,ethanol_spirit_gallons_per_capita,ethanol_all_drinks_gallons_per_capita,number_of_beers,number_of_glasses_wine,number_of_shots_liquor,number_of_drinks_total
2018,alabama,1.04,0.26,0.69,1.99,246.5185185,51.59689922,143.2603406,424.5333333
2017,alabama,1.07,0.26,0.67,1.99,253.6296296,51.59689922,139.107867,424.5333333
2016,alabama,1.09,0.26,0.65,2.01,258.3703704,51.59689922,134.9553933,428.8
2015,alabama,1.11,0.26,0.64,2.01,263.1111111,51.59689922,132.8791565,428.8
2014,alabama,1.13,0.25,0.62,2,267.8518519,49.6124031,128.7266829,426.6666667
2013,alabama,1.14,0.25,0.6,1.99,270.2222222,49.6124031,124.5742092,424.5333333
2012,alabama,1.16,0.24,0.6,2,274.962963,47.62790698,124.5742092,426.6666667
2011,alabama,1.16,0.24,0.59,1.98,274.962963,47.62790698,122.4979724,422.4
2010,alabama,1.17,0.23,0.58,1.98,277.3333333,45.64341085,120.4217356,422.4
2009,alabama,1.19,0.22,0.57,1.98,282.0740741,43.65891473,118.3454988,422.4
2008,alabama,1.22,0.22,0.57,2.01,289.1851852,43.65891473,118.3454988,428.8
2007,alabama,1.23,0.22,0.55,2,291.5555556,43.65891473,114.1930251,426.6666667
2006,alabama,1.21,0.21,0.54,1.95,286.8148148,41.6744186,112.1167883,416
2005,alabama,1.18,0.2,0.53,1.91,279.7037037,39.68992248,110.0405515,407.4666667
2004,alabama,1.19,0.2,0.52,1.91,282.0740741,39.68992248,107.9643147,407.4666667
2003,alabama,1.19,0.19,0.52,1.9,282.0740741,37.70542636,107.9643147,405.3333333
2002,alabama,1.18,0.21,0.54,1.92,279.7037037,41.6744186,112.1167883,409.6
2001,alabama,1.16,0.17,0.53,1.86,274.962963,33.73643411,110.0405515,396.8
2000,alabama,1.19,0.18,0.51,1.88,282.0740741,35.72093023,105.8880779,401.0666667
1999,alabama,1.18,0.17,0.51,1.87,279.7037037,33.73643411,105.8880779,398.9333333
1998,alabama,1.16,0.17,0.51,1.85,274.962963,33.73643411,105.8880779,394.6666667
1997,alabama,1.14,0.16,0.52,1.82,270.2222222,31.75193798,107.9643147,388.2666667
1996,alabama,1.17,0.18,0.53,1.88,277.3333333,35.72093023,110.0405515,401.0666667
1995,alabama,1.14,0.16,0.53,1.82,270.2222222,31.75193798,110.0405515,388.2666667
1994,alabama,1.16,0.17,0.54,1.87,274.962963,33.73643411,112.1167883,398.9333333
1993,alabama,1.14,0.17,0.56,1.86,270.2222222,33.73643411,116.269262,396.8
1992,alabama,1.02,0.19,0.59,1.79,241.7777778,37.70542636,122.4979724,381.8666667
1991,alabama,1,0.17,0.59,1.76,237.037037,33.73643411,122.4979724,375.4666667
1990,alabama,1.12,0.18,0.61,1.92,265.4814815,35.72093023,126.6504461,409.6
1989,alabama,1.12,0.17,0.61,1.9,265.4814815,33.73643411,126.6504461,405.3333333
1988,alabama,1.12,0.19,0.62,1.92,265.4814815,37.70542636,128.7266829,409.6
1987,alabama,1.11,0.18,0.62,1.91,263.1111111,35.72093023,128.7266829,407.4666667
1986,alabama,1.1,0.18,0.65,1.92,260.7407407,35.72093023,134.9553933,409.6
1985,alabama,1.07,0.17,0.67,1.92,253.6296296,33.73643411,139.107867,409.6
1984,alabama,1.03,0.19,0.69,1.91,244.1481481,37.70542636,143.2603406,407.4666667
1983,alabama,1.01,0.17,0.72,1.9,239.4074074,33.73643411,149.4890511,405.3333333
1982,alabama,1,0.18,0.72,1.9,237.037037,35.72093023,149.4890511,405.3333333
1981,alabama,1,0.19,0.73,1.91,237.037037,37.70542636,151.5652879,407.4666667
1980,alabama,0.95,0.16,0.74,1.86,225.1851852,31.75193798,153.6415247,396.8
1979,alabama,0.96,0.12,0.82,1.9,227.5555556,23.81395349,170.2514193,405.3333333
1978,alabama,0.95,0.12,0.85,1.92,225.1851852,23.81395349,176.4801298,409.6
1977,alabama,0.97,0.12,0.82,1.92,229.9259259,23.81395349,170.2514193,409.6
2018,alaska,1.06,0.53,1.25,2.85,251.2592593,105.1782946,259.5296026,608
2017,alaska,1.06,0.53,1.22,2.81,251.2592593,105.1782946,253.3008921,599.4666667
2016,alaska,1.15,0.56,1.23,2.94,272.5925926,111.1317829,255.377129,627.2
2015,alaska,1.11,0.53,1.2,2.84,263.1111111,105.1782946,249.1484185,605.8666667
2014,alaska,1.11,0.52,1.17,2.8,263.1111111,103.1937984,242.919708,597.3333333
2013,alaska,1.07,0.52,1.17,2.75,253.6296296,103.1937984,242.919708,586.6666667
2012,alaska,1.17,0.53,1.13,2.83,277.3333333,105.1782946,234.6147607,603.7333333
2011,alaska,1.15,0.54,1.17,2.86,272.5925926,107.1627907,242.919708,610.1333333
2010,alaska,1.23,0.55,1.25,3.03,291.5555556,109.1472868,259.5296026,646.4
2009,alaska,1.32,0.54,1.16,3.02,312.8888889,107.1627907,240.8434712,644.2666667
2008,alaska,1.2,0.49,1.09,2.78,284.4444444,97.24031008,226.3098135,593.0666667
2007,alaska,1.13,0.44,0.96,2.53,267.8518519,87.31782946,199.3187348,539.7333333
2006,alaska,1.25,0.47,1.03,2.75,296.2962963,93.27131783,213.8523925,586.6666667
2005,alaska,1.23,0.43,0.98,2.64,291.5555556,85.33333333,203.4712084,563.2
2004,alaska,1.31,0.44,0.95,2.71,310.5185185,87.31782946,197.242498,578.1333333
2003,alaska,1.27,0.37,0.79,2.43,301.037037,73.42635659,164.0227088,518.4
2002,alaska,1.35,0.45,1.19,2.99,320,89.30232558,247.0721817,637.8666667
2001,alaska,1.32,0.38,0.96,2.67,312.8888889,75.41085271,199.3187348,569.6
2000,alaska,1.37,0.37,0.94,2.68,324.7407407,73.42635659,195.1662612,571.7333333
1999,alaska,1.4,0.38,0.95,2.74,331.8518519,75.41085271,197.242498,584.5333333
1998,alaska,1.39,0.37,0.95,2.71,329.4814815,73.42635659,197.242498,578.1333333
1997,alaska,1.31,0.36,0.88,2.56,310.5185185,71.44186047,182.7088402,546.1333333
1996,alaska,1.31,0.38,0.94,2.63,310.5185185,75.41085271,195.1662612,561.0666667
1995,alaska,1.45,0.39,1.02,2.86,343.7037037,77.39534884,211.7761557,610.1333333
1994,alaska,1.53,0.4,1.1,3.03,362.6666667,79.37984496,228.3860503,646.4
1993,alaska,1.31,0.32,0.92,2.55,310.5185185,63.50387597,191.0137875,544
1992,alaska,1.53,0.41,1.08,3.02,362.6666667,81.36434109,224.2335766,644.2666667
1991,alaska,1.54,0.43,1.14,3.11,365.037037,85.33333333,236.6909976,663.4666667
1990,alaska,1.62,0.46,1.25,3.33,384,91.28682171,259.5296026,710.4
1989,alaska,1.52,0.44,1.19,3.15,360.2962963,87.31782946,247.0721817,672
1988,alaska,1.54,0.47,1.19,3.21,365.037037,93.27131783,247.0721817,684.8
1987,alaska,1.6,0.52,1.26,3.38,379.2592593,103.1937984,261.6058394,721.0666667
1986,alaska,1.65,0.55,1.25,3.45,391.1111111,109.1472868,259.5296026,736
1985,alaska,1.63,0.56,1.48,3.68,386.3703704,111.1317829,307.2830495,785.0666667
1984,alaska,1.67,0.56,1.5,3.72,395.8518519,111.1317829,311.4355231,793.6
1983,alaska,1.71,0.59,1.65,3.95,405.3333333,117.0852713,342.5790754,842.6666667
1982,alaska,1.69,0.54,1.68,3.92,400.5925926,107.1627907,348.8077859,836.2666667
1981,alaska,1.68,0.56,1.79,4.02,398.2222222,111.1317829,371.6463909,857.6
1980,alaska,1.54,0.5,1.68,3.72,365.037037,99.2248062,348.8077859,793.6
1979,alaska,1.48,0.46,1.63,3.58,350.8148148,91.28682171,338.4266018,763.7333333
1978,alaska,1.39,0.45,1.67,3.51,329.4814815,89.30232558,346.7315491,748.8
1977,alaska,1.19,0.42,1.69,3.3,282.0740741,83.34883721,350.8840227,704
2018,arizona,1.08,0.39,0.79,2.25,256,77.39534884,164.0227088,480
2017,arizona,1.11,0.39,0.79,2.29,263.1111111,77.39534884,164.0227088,488.5333333
2016,arizona,1.14,0.4,0.79,2.32,270.2222222,79.37984496,164.0227088,494.9333333
2015,arizona,1.16,0.4,0.78,2.34,274.962963,79.37984496,161.946472,499.2
2014,arizona,1.18,0.4,0.79,2.37,279.7037037,79.37984496,164.0227088,505.6
2013,arizona,1.12,0.42,0.81,2.35,265.4814815,83.34883721,168.1751825,501.3333333
2012,arizona,1.14,0.45,0.84,2.43,270.2222222,89.30232558,174.4038929,518.4
2011,arizona,1.15,0.44,0.8,2.39,272.5925926,87.31782946,166.0989457,509.8666667
2010,arizona,1.23,0.41,0.76,2.39,291.5555556,81.36434109,157.7939984,509.8666667
2009,arizona,1.22,0.39,0.77,2.38,289.1851852,77.39534884,159.8702352,507.7333333
2008,arizona,1.3,0.41,0.77,2.48,308.1481481,81.36434109,159.8702352,529.0666667
2007,arizona,1.39,0.34,0.78,2.51,329.4814815,67.47286822,161.946472,535.4666667
2006,arizona,1.34,0.38,0.79,2.51,317.6296296,75.41085271,164.0227088,535.4666667
2005,arizona,1.35,0.4,0.76,2.51,320,79.37984496,157.7939984,535.4666667
2004,arizona,1.4,0.34,0.71,2.44,331.8518519,67.47286822,147.4128143,520.5333333
2003,arizona,1.41,0.37,0.71,2.49,334.2222222,73.42635659,147.4128143,531.2
2002,arizona,1.46,0.33,0.69,2.48,346.0740741,65.48837209,143.2603406,529.0666667
2001,arizona,1.47,0.33,0.7,2.5,348.4444444,65.48837209,145.3365775,533.3333333
2000,arizona,1.48,0.31,0.71,2.5,350.8148148,61.51937984,147.4128143,533.3333333
1999,arizona,1.47,0.34,0.69,2.51,348.4444444,67.47286822,143.2603406,535.4666667
1998,arizona,1.44,0.33,0.68,2.45,341.3333333,65.48837209,141.1841038,522.6666667
1997,arizona,1.45,0.31,0.68,2.44,343.7037037,61.51937984,141.1841038,520.5333333
1996,arizona,1.52,0.33,0.73,2.58,360.2962963,65.48837209,151.5652879,550.4
1995,arizona,1.47,0.29,0.68,2.44,348.4444444,57.5503876,141.1841038,520.5333333
1994,arizona,1.52,0.29,0.7,2.5,360.2962963,57.5503876,145.3365775,533.3333333
1993,arizona,1.58,0.27,0.76,2.62,374.5185185,53.58139535,157.7939984,558.9333333
1992,arizona,1.58,0.31,0.8,2.69,374.5185185,61.51937984,166.0989457,573.8666667
1991,arizona,1.58,0.35,0.78,2.71,374.5185185,69.45736434,161.946472,578.1333333
1990,arizona,1.59,0.37,0.8,2.77,376.8888889,73.42635659,166.0989457,590.9333333
1989,arizona,1.63,0.35,0.83,2.81,386.3703704,69.45736434,172.3276561,599.4666667
1988,arizona,1.6,0.41,0.86,2.87,379.2592593,81.36434109,178.5563666,612.2666667
1987,arizona,1.64,0.45,0.84,2.93,388.7407407,89.30232558,174.4038929,625.0666667
1986,arizona,1.74,0.45,0.9,3.09,412.4444444,89.30232558,186.8613139,659.2
1985,arizona,1.66,0.45,0.99,3.11,393.4814815,89.30232558,205.5474453,663.4666667
1984,arizona,1.55,0.44,1.05,3.04,367.4074074,87.31782946,218.0048662,648.5333333
1983,arizona,1.6,0.43,0.99,3.02,379.2592593,85.33333333,205.5474453,644.2666667
1982,arizona,1.71,0.39,0.98,3.07,405.3333333,77.39534884,203.4712084,654.9333333
1981,arizona,1.76,0.42,1,3.18,417.1851852,83.34883721,207.6236821,678.4
1980,arizona,1.68,0.36,0.97,3.01,398.2222222,71.44186047,201.3949716,642.1333333
1979,arizona,1.71,0.36,1.07,3.15,405.3333333,71.44186047,222.1573398,672
1978,arizona,1.66,0.35,1.03,3.04,393.4814815,69.45736434,213.8523925,648.5333333
1977,arizona,1.6,0.32,0.99,2.92,379.2592593,63.50387597,205.5474453,622.9333333
2018,arkansas,0.9,0.23,0.64,1.78,213.3333333,45.64341085,132.8791565,379.7333333
2017,arkansas,0.92,0.23,0.67,1.82,218.0740741,45.64341085,139.107867,388.2666667
2016,arkansas,0.93,0.22,0.65,1.8,220.4444444,43.65891473,134.9553933,384
2015,arkansas,0.97,0.22,0.65,1.83,229.9259259,43.65891473,134.9553933,390.4
2014,arkansas,0.96,0.21,0.62,1.79,227.5555556,41.6744186,128.7266829,381.8666667
2013,arkansas,1,0.2,0.6,1.8,237.037037,39.68992248,124.5742092,384
2012,arkansas,1,0.2,0.6,1.8,237.037037,39.68992248,124.5742092,384
2011,arkansas,0.97,0.18,0.56,1.72,229.9259259,35.72093023,116.269262,366.9333333
2010,arkansas,1.04,0.17,0.59,1.8,246.5185185,33.73643411,122.4979724,384
2009,arkansas,1.06,0.17,0.59,1.82,251.2592593,33.73643411,122.4979724,388.2666667
2008,arkansas,1.09,0.17,0.59,1.86,258.3703704,33.73643411,122.4979724,396.8
2007,arkansas,1.05,0.17,0.59,1.81,248.8888889,33.73643411,122.4979724,386.1333333
2006,arkansas,1.05,0.16,0.59,1.8,248.8888889,31.75193798,122.4979724,384
2005,arkansas,1.04,0.16,0.58,1.78,246.5185185,31.75193798,120.4217356,379.7333333
2004,arkansas,1.08,0.15,0.58,1.81,256,29.76744186,120.4217356,386.1333333
2003,arkansas,1.06,0.14,0.56,1.77,251.2592593,27.78294574,116.269262,377.6
2002,arkansas,1.09,0.14,0.53,1.75,258.3703704,27.78294574,110.0405515,373.3333333
2001,arkansas,1.08,0.13,0.53,1.74,256,25.79844961,110.0405515,371.2
2000,arkansas,1.09,0.12,0.53,1.74,258.3703704,23.81395349,110.0405515,371.2
1999,arkansas,1.09,0.12,0.54,1.75,258.3703704,23.81395349,112.1167883,373.3333333
1998,arkansas,1.1,0.11,0.51,1.73,260.7407407,21.82945736,105.8880779,369.0666667
1997,arkansas,1.07,0.12,0.52,1.71,253.6296296,23.81395349,107.9643147,364.8
1996,arkansas,1.07,0.12,0.53,1.72,253.6296296,23.81395349,110.0405515,366.9333333
1995,arkansas,1.06,0.11,0.51,1.68,251.2592593,21.82945736,105.8880779,358.4
1994,arkansas,1.06,0.13,0.46,1.65,251.2592593,25.79844961,95.50689376,352
1993,arkansas,1.1,0.11,0.58,1.79,260.7407407,21.82945736,120.4217356,381.8666667
1992,arkansas,1.13,0.12,0.65,1.9,267.8518519,23.81395349,134.9553933,405.3333333
1991,arkansas,1.12,0.11,0.58,1.81,265.4814815,21.82945736,120.4217356,386.1333333
1990,arkansas,1.12,0.13,0.61,1.86,265.4814815,25.79844961,126.6504461,396.8
1989,arkansas,1.1,0.13,0.58,1.82,260.7407407,25.79844961,120.4217356,388.2666667
1988,arkansas,1.09,0.14,0.54,1.78,258.3703704,27.78294574,112.1167883,379.7333333
1987,arkansas,1.09,0.11,0.53,1.74,258.3703704,21.82945736,110.0405515,371.2
1986,arkansas,1.08,0.09,0.49,1.65,256,17.86046512,101.7356042,352
1985,arkansas,1.04,0.13,0.59,1.77,246.5185185,25.79844961,122.4979724,377.6
1984,arkansas,1.03,0.12,0.64,1.8,244.1481481,23.81395349,132.8791565,384
1983,arkansas,1.03,0.13,0.63,1.79,244.1481481,25.79844961,130.8029197,381.8666667
1982,arkansas,1.03,0.12,0.63,1.78,244.1481481,23.81395349,130.8029197,379.7333333
1981,arkansas,1.06,0.12,0.68,1.86,251.2592593,23.81395349,141.1841038,396.8
1980,arkansas,1,0.12,0.68,1.81,237.037037,23.81395349,141.1841038,386.1333333
1979,arkansas,0.9,0.09,0.55,1.54,213.3333333,17.86046512,114.1930251,328.5333333
1978,arkansas,0.95,0.11,0.71,1.76,225.1851852,21.82945736,147.4128143,375.4666667
1977,arkansas,0.89,0.1,0.61,1.61,210.962963,19.84496124,126.6504461,343.4666667
2018,california,1,0.62,0.87,2.49,237.037037,123.0387597,180.6326034,531.2
2017,california,0.94,0.58,0.78,2.31,222.8148148,115.1007752,161.946472,492.8
2016,california,0.96,0.6,0.78,2.34,227.5555556,119.0697674,161.946472,499.2
2015,california,1,0.53,0.75,2.28,237.037037,105.1782946,155.7177616,486.4
2014,california,1,0.6,0.73,2.33,237.037037,119.0697674,151.5652879,497.0666667
2013,california,0.98,0.6,0.75,2.33,232.2962963,119.0697674,155.7177616,497.0666667
2012,california,0.99,0.63,0.74,2.35,234.6666667,125.0232558,153.6415247,501.3333333
2011,california,0.95,0.58,0.72,2.25,225.1851852,115.1007752,149.4890511,480
2010,california,0.97,0.49,0.71,2.16,229.9259259,97.24031008,147.4128143,460.8
2009,california,1.01,0.57,0.7,2.28,239.4074074,113.1162791,145.3365775,486.4
2008,california,1.05,0.55,0.7,2.3,248.8888889,109.1472868,145.3365775,490.6666667
2007,california,1.06,0.54,0.7,2.3,251.2592593,107.1627907,145.3365775,490.6666667
2006,california,1.02,0.56,0.7,2.29,241.7777778,111.1317829,145.3365775,488.5333333
2005,california,1.03,0.54,0.69,2.26,244.1481481,107.1627907,143.2603406,482.1333333
2004,california,1.07,0.52,0.67,2.25,253.6296296,103.1937984,139.107867,480
2003,california,1.07,0.51,0.65,2.23,253.6296296,101.2093023,134.9553933,475.7333333
2002,california,1.08,0.49,0.64,2.21,256,97.24031008,132.8791565,471.4666667
2001,california,1.09,0.48,0.63,2.2,258.3703704,95.25581395,130.8029197,469.3333333
2000,california,1.12,0.48,0.64,2.24,265.4814815,95.25581395,132.8791565,477.8666667
1999,california,1.12,0.48,0.62,2.22,265.4814815,95.25581395,128.7266829,473.6
1998,california,1.11,0.49,0.61,2.21,263.1111111,97.24031008,126.6504461,471.4666667
1997,california,1.14,0.52,0.62,2.28,270.2222222,103.1937984,128.7266829,486.4
1996,california,1.13,0.5,0.64,2.27,267.8518519,99.2248062,132.8791565,484.2666667
1995,california,1.15,0.46,0.63,2.24,272.5925926,91.28682171,130.8029197,477.8666667
1994,california,1.09,0.47,0.68,2.24,258.3703704,93.27131783,141.1841038,477.8666667
1993,california,1.17,0.48,0.69,2.35,277.3333333,95.25581395,143.2603406,501.3333333
1992,california,1.28,0.51,0.75,2.54,303.4074074,101.2093023,155.7177616,541.8666667
1991,california,1.22,0.49,0.75,2.46,289.1851852,97.24031008,155.7177616,524.8
1990,california,1.32,0.59,0.87,2.78,312.8888889,117.0852713,180.6326034,593.0666667
1989,california,1.29,0.6,0.85,2.75,305.7777778,119.0697674,176.4801298,586.6666667
1988,california,1.32,0.67,0.88,2.86,312.8888889,132.9612403,182.7088402,610.1333333
1987,california,1.35,0.73,0.92,3,320,144.8682171,191.0137875,640
1986,california,1.35,0.78,0.95,3.08,320,154.7906977,197.242498,657.0666667
1985,california,1.32,0.78,1.02,3.11,312.8888889,154.7906977,211.7761557,663.4666667
1984,california,1.37,0.73,1.06,3.16,324.7407407,144.8682171,220.081103,674.1333333
1983,california,1.36,0.74,1.1,3.21,322.3703704,146.8527132,228.3860503,684.8
1982,california,1.37,0.72,1.13,3.22,324.7407407,142.8837209,234.6147607,686.9333333
1981,california,1.43,0.72,1.2,3.35,338.962963,142.8837209,249.1484185,714.6666667
1980,california,1.41,0.71,1.24,3.36,334.2222222,140.8992248,257.4533658,716.8
1979,california,1.39,0.68,1.25,3.32,329.4814815,134.9457364,259.5296026,708.2666667
1978,california,1.33,0.67,1.29,3.28,315.2592593,132.9612403,267.8345499,699.7333333
1977,california,1.29,0.65,1.25,3.19,305.7777778,128.9922481,259.5296026,680.5333333
2018,colorado,1.14,0.52,1.23,2.88,270.2222222,103.1937984,255.377129,614.4
2017,colorado,1.14,0.51,1.19,2.84,270.2222222,101.2093023,247.0721817,605.8666667
2016,colorado,1.14,0.51,1.16,2.82,270.2222222,101.2093023,240.8434712,601.6
2015,colorado,1.12,0.51,1.14,2.77,265.4814815,101.2093023,236.6909976,590.9333333
2014,colorado,1.14,0.51,1.11,2.77,270.2222222,101.2093023,230.4622871,590.9333333
2013,colorado,1.2,0.5,1.11,2.81,284.4444444,99.2248062,230.4622871,599.4666667
2012,colorado,1.15,0.52,1.08,2.76,272.5925926,103.1937984,224.2335766,588.8
2011,colorado,1.2,0.49,1.04,2.72,284.4444444,97.24031008,215.9286294,580.2666667
2010,colorado,1.22,0.48,1.01,2.71,289.1851852,95.25581395,209.6999189,578.1333333
2009,colorado,1.23,0.46,1.01,2.7,291.5555556,91.28682171,209.6999189,576
2008,colorado,1.28,0.47,1.02,2.77,303.4074074,93.27131783,211.7761557,590.9333333
2007,colorado,1.3,0.47,1.01,2.78,308.1481481,93.27131783,209.6999189,593.0666667
2006,colorado,1.29,0.45,0.98,2.72,305.7777778,89.30232558,203.4712084,580.2666667
2005,colorado,1.31,0.42,0.99,2.72,310.5185185,83.34883721,205.5474453,580.2666667
2004,colorado,1.3,0.43,0.95,2.68,308.1481481,85.33333333,197.242498,571.7333333
2003,colorado,1.33,0.4,0.87,2.6,315.2592593,79.37984496,180.6326034,554.6666667
2002,colorado,1.35,0.39,0.9,2.64,320,77.39534884,186.8613139,563.2
2001,colorado,1.42,0.41,0.96,2.78,336.5925926,81.36434109,199.3187348,593.0666667
2000,colorado,1.35,0.37,0.89,2.6,320,73.42635659,184.785077,554.6666667
1999,colorado,1.33,0.37,0.75,2.45,315.2592593,73.42635659,155.7177616,522.6666667
1998,colorado,1.33,0.37,0.83,2.53,315.2592593,73.42635659,172.3276561,539.7333333
1997,colorado,1.3,0.37,0.81,2.48,308.1481481,73.42635659,168.1751825,529.0666667
1996,colorado,1.36,0.37,0.84,2.57,322.3703704,73.42635659,174.4038929,548.2666667
1995,colorado,1.34,0.35,0.78,2.47,317.6296296,69.45736434,161.946472,526.9333333
1994,colorado,1.36,0.35,0.84,2.55,322.3703704,69.45736434,174.4038929,544
1993,colorado,1.4,0.36,0.86,2.63,331.8518519,71.44186047,178.5563666,561.0666667
1992,colorado,1.34,0.36,0.81,2.52,317.6296296,71.44186047,168.1751825,537.6
1991,colorado,1.39,0.35,0.87,2.61,329.4814815,69.45736434,180.6326034,556.8
1990,colorado,1.35,0.29,0.75,2.39,320,57.5503876,155.7177616,509.8666667
1989,colorado,1.42,0.38,0.85,2.64,336.5925926,75.41085271,176.4801298,563.2
1988,colorado,1.44,0.4,0.92,2.76,341.3333333,79.37984496,191.0137875,588.8
1987,colorado,1.45,0.45,0.94,2.84,343.7037037,89.30232558,195.1662612,605.8666667
1986,colorado,1.49,0.47,0.95,2.9,353.1851852,93.27131783,197.242498,618.6666667
1985,colorado,1.48,0.5,1.18,3.17,350.8148148,99.2248062,244.9959448,676.2666667
1984,colorado,1.51,0.46,1.12,3.1,357.9259259,91.28682171,232.5385239,661.3333333
1983,colorado,1.57,0.46,1.12,3.15,372.1481481,91.28682171,232.5385239,672
1982,colorado,1.63,0.46,1.17,3.26,386.3703704,91.28682171,242.919708,695.4666667
1981,colorado,1.62,0.44,1.26,3.32,384,87.31782946,261.6058394,708.2666667
1980,colorado,1.56,0.46,1.31,3.33,369.7777778,91.28682171,271.9870235,710.4
1979,colorado,1.63,0.46,1.33,3.42,386.3703704,91.28682171,276.1394972,729.6
1978,colorado,1.6,0.46,1.39,3.46,379.2592593,91.28682171,288.5969181,738.1333333
1977,colorado,1.4,0.36,1.19,2.95,331.8518519,71.44186047,247.0721817,629.3333333
2018,connecticut,0.8,0.6,1.01,2.4,189.6296296,119.0697674,209.6999189,512
2017,connecticut,0.82,0.6,0.99,2.41,194.3703704,119.0697674,205.5474453,514.1333333
2016,connecticut,0.85,0.62,0.98,2.44,201.4814815,123.0387597,203.4712084,520.5333333
2015,connecticut,0.85,0.61,0.95,2.41,201.4814815,121.0542636,197.242498,514.1333333
2014,connecticut,0.84,0.6,0.92,2.36,199.1111111,119.0697674,191.0137875,503.4666667
2013,connecticut,0.85,0.61,0.91,2.37,201.4814815,121.0542636,188.9375507,505.6
2012,connecticut,0.86,0.61,0.91,2.38,203.8518519,121.0542636,188.9375507,507.7333333
2011,connecticut,0.86,0.62,0.88,2.35,203.8518519,123.0387597,182.7088402,501.3333333
2010,connecticut,0.88,0.6,0.87,2.35,208.5925926,119.0697674,180.6326034,501.3333333
2009,connecticut,0.88,0.59,0.85,2.31,208.5925926,117.0852713,176.4801298,492.8
2008,connecticut,0.93,0.58,0.85,2.36,220.4444444,115.1007752,176.4801298,503.4666667
2007,connecticut,0.92,0.57,0.84,2.33,218.0740741,113.1162791,174.4038929,497.0666667
2006,connecticut,0.93,0.56,0.81,2.3,220.4444444,111.1317829,168.1751825,490.6666667
2005,connecticut,0.9,0.54,0.79,2.23,213.3333333,107.1627907,164.0227088,475.7333333
2004,connecticut,0.93,0.53,0.79,2.25,220.4444444,105.1782946,164.0227088,480
2003,connecticut,0.93,0.52,0.78,2.23,220.4444444,103.1937984,161.946472,475.7333333
2002,connecticut,0.95,0.5,0.75,2.21,225.1851852,99.2248062,155.7177616,471.4666667
2001,connecticut,0.95,0.5,0.74,2.19,225.1851852,99.2248062,153.6415247,467.2
2000,connecticut,0.94,0.49,0.74,2.18,222.8148148,97.24031008,153.6415247,465.0666667
1999,connecticut,0.94,0.49,0.75,2.18,222.8148148,97.24031008,155.7177616,465.0666667
1998,connecticut,0.96,0.49,0.76,2.21,227.5555556,97.24031008,157.7939984,471.4666667
1997,connecticut,0.95,0.48,0.74,2.17,225.1851852,95.25581395,153.6415247,462.9333333
1996,connecticut,0.91,0.46,0.72,2.09,215.7037037,91.28682171,149.4890511,445.8666667
1995,connecticut,0.96,0.46,0.78,2.2,227.5555556,91.28682171,161.946472,469.3333333
1994,connecticut,0.99,0.43,0.78,2.2,234.6666667,85.33333333,161.946472,469.3333333
1993,connecticut,0.96,0.44,0.8,2.2,227.5555556,87.31782946,166.0989457,469.3333333
1992,connecticut,1.01,0.45,0.83,2.3,239.4074074,89.30232558,172.3276561,490.6666667
1991,connecticut,1.03,0.43,0.84,2.29,244.1481481,85.33333333,174.4038929,488.5333333
1990,connecticut,1.09,0.45,0.92,2.46,258.3703704,89.30232558,191.0137875,524.8
1989,connecticut,1.07,0.46,0.96,2.5,253.6296296,91.28682171,199.3187348,533.3333333
1988,connecticut,1.12,0.5,1.05,2.67,265.4814815,99.2248062,218.0048662,569.6
1987,connecticut,1.14,0.51,1.1,2.75,270.2222222,101.2093023,228.3860503,586.6666667
1986,connecticut,1.11,0.51,1.14,2.76,263.1111111,101.2093023,236.6909976,588.8
1985,connecticut,1.12,0.5,1.19,2.81,265.4814815,99.2248062,247.0721817,599.4666667
1984,connecticut,1.1,0.49,1.19,2.78,260.7407407,97.24031008,247.0721817,593.0666667
1983,connecticut,1.1,0.49,1.22,2.8,260.7407407,97.24031008,253.3008921,597.3333333
1982,connecticut,1.04,0.49,1.21,2.74,246.5185185,97.24031008,251.2246553,584.5333333
1981,connecticut,1.05,0.44,1.18,2.67,248.8888889,87.31782946,244.9959448,569.6
1980,connecticut,1.06,0.43,1.2,2.69,251.2592593,85.33333333,249.1484185,573.8666667
1979,connecticut,1.14,0.4,1.21,2.76,270.2222222,79.37984496,251.2246553,588.8
1978,connecticut,1.09,0.38,1.21,2.69,258.3703704,75.41085271,251.2246553,573.8666667
1977,connecticut,1.06,0.35,1.23,2.64,251.2592593,69.45736434,255.377129,563.2
2018,delaware,1.11,0.72,1.69,3.52,263.1111111,142.8837209,350.8840227,750.9333333
2017,delaware,1.15,0.72,1.75,3.62,272.5925926,142.8837209,363.3414436,772.2666667
2016,delaware,1.2,0.74,1.8,3.73,284.4444444,146.8527132,373.7226277,795.7333333
2015,delaware,1.19,0.72,1.75,3.66,282.0740741,142.8837209,363.3414436,780.8
2014,delaware,1.21,0.72,1.67,3.6,286.8148148,142.8837209,346.7315491,768
2013,delaware,1.25,0.72,1.63,3.6,296.2962963,142.8837209,338.4266018,768
2012,delaware,1.32,0.7,1.58,3.59,312.8888889,138.9147287,328.0454177,765.8666667
2011,delaware,1.34,0.69,1.52,3.55,317.6296296,136.9302326,315.5879968,757.3333333
2010,delaware,1.36,0.66,1.36,3.38,322.3703704,130.9767442,282.3682076,721.0666667
